Days,Time,finalDate,finalTime
F,1700 - 1855,"Apr 28, 2023",1800 - 2050
F,1700 - 1945,"Apr 28, 2023",1800 - 2050
F,1830 - 2025,"Apr 28, 2023",1800 - 2050
F,1830 - 2115,"Apr 28, 2023",1800 - 2050
F,1400 - 1555,"May 01, 2023",1440 - 1730
F,1400 - 1645,"May 01, 2023",1440 - 1730
F,0800 - 1045,"May 04, 2023",1440 - 1730
F,0825 - 1020,"May 04, 2023",1440 - 1730
MTWR,1400 - 1450,"Apr 28, 2023",1440 - 1730
MWF,1400 - 1450,"Apr 28, 2023",1440 - 1730
MW,1400 - 1450,"Apr 28, 2023",1440 - 1730
WF,1400 - 1450,"Apr 28, 2023",1440 - 1730
MW,1400 - 1515,"Apr 28, 2023",1440 - 1730
WF,1400 - 1515,"Apr 28, 2023",1440 - 1730
TWRF,1400 - 1450,"May 02, 2023",1440 - 1730
TRF,1400 - 1450,"May 02, 2023",1440 - 1730
TR,1400 - 1450,"May 02, 2023",1440 - 1730
TR,1400 - 1515,"May 02, 2023",1440 - 1730
MTWR,1530 - 1620,"May 03, 2023",1440 - 1730
MWF,1530 - 1620,"May 03, 2023",1440 - 1730
MW,1530 - 1620,"May 03, 2023",1440 - 1730
WF,1530 - 1620,"May 03, 2023",1440 - 1730
MW,1530 - 1645,"May 03, 2023",1440 - 1730
WF,1530 - 1645,"May 03, 2023",1440 - 1730
TWRF,1530 - 1620,"Apr 27, 2023",1440 - 1730
TRF,1530 - 1620,"Apr 27, 2023",1440 - 1730
TR,1530 - 1620,"Apr 27, 2023",1440 - 1730
TR,1530 - 1645,"Apr 27, 2023",1440 - 1730
